사용자,평점,댓글 내용
신상훈남,4.5,"김선호의 못된 미소를 마주한 순간부터 난 이 영화에 빠져들었던 것 같다.

이제 알겠다. 박훈정 감독은 하나에 꽂히면 그것만 실행한다. 그는 각성한 주인공이 (무조건 후반부 하이라이트 액션신에서 각성해야 함) 홀로 다수의 조직원들에 맞서 싸우는 것을 좋아하게 됐으며, 전투 도중 필요 이상으로 피칠갑을 하게 된 섬뜩한 모습, 푸른 새벽빛에 반사되는 고요한 숲의 향기라든지 일상에서는 온화한 미소를 짓다가도 전투만 시작되면 정색을 하는 주인공까지. 이 말고도 많다. 이제는 칼과 총을 사용하는 액션신은 필수 요소이며, 무조건 잔인해야 한다. 인간의 살을 깊이 파고드는 피비린내는 <신세계>때부터 지금까지 한 편도 빠짐없이 계속되고 있다. 이제, 그의 영화는 뻔하다. 다 보인다. 어떻게 전개되고, 어떤 상황이 펼쳐질지 다 보인다.

""개인적인 감정은 없어. 우린 프로고, 이건 비즈니스.""

영화는 분명 내가 예상한 것과 크게 다름이 없었고 영화의 맛도 '늘 먹던 맛'이었지만 난 이상하리만큼 이 영화를 재밌게 보았다. 박훈정 감독은 영화의 정교한 서사나 극강의 재미로 승부를 보는 스타일이 아니었다. 특유의 짙은 여운과 영화가 끝나고 되새김질하게 되는 부분들이 영화가 계속해서 생각나게 만들고, 이런 점들이 시간이 지나도 그의 영화가 다시 보고 싶고, 앞으로의 영화를 계속해서 보게 만들 수 있는 큰 매력이었다. 소재는 어디선가 본 듯한, 그리 튀지 않는 것이었지만 각본이나 분위기 연출만큼은 독특한 색깔을 띠고 있는 작품이었다.

""지그재그로 뛰어요. 그래야 총알 맞을 확률이 적어요.""

아무리 생각해도 영화가, 되게 매력적이었다. 해가 희미하게 뜨기 시작할 즈음의 새벽에, 홀로 울창한 숲을 보며, 담배 한 개비를 태우며, 들숨에 담배의 일산화탄소와 숲의 피톤치드를 곁들이며 이 영화를 보면 진짜 그게 천국일 것 같다는 생각이 들었다. 거기에 빨대 꽂고 병코카콜라에, 벤츠 타고 창문 열고, 어디 가지도 않으면서 맞춤정장까지 입고 있으면 금상첨화. 극한으로 몰입할 수 있는 환경을 관객 스스로가 조성할 수 있고, 선택할 수 있다면 그것이야말로 즐길 요소가 많은 영화라고 생각한다.

[이 영화의 명장면 📽️]

1. 광기의 추격전

살다 살다 이런 추격전은 또 처음 본다. 비 내리던 어둠의 추격전에서 비가 그치고 하늘이 갠 상황에서 맑은 추격이 재개된다. 보통 상황이었으면, 적당히 추격당하는 자와, 추격자의 묘한 유대감이 생성되기 마련인데 정말 미친 듯이 질주해대는 둘의 뜀박질에 무심코 '그냥 좀 잡혀줬으면'하는 염원이 들었다. '살고자 하는 욕구'와, '무조건 잡아낼 거라는 확신'이 제대로 붙는 장면. 피멍투성이 된 채로 살고 싶다고 발버둥치는 것과, 미소를 지으며 온갖 멋을 부리는 것. 그리고 어둠의 긴장감을 포기하고 밝은 대낮에 벌어지는 숨막히는 추격전, 육탄전에서 우위를 점하는 추격당하는 자. 늘 자신만의 틀 안에서 모든 것을 행했던 박훈정 감독이 이 장면만큼은 추격전의 클리셰를 완전히 박살내버렸다.

""적당히 하시지 정말. 내 차 저거 어떻게 할 거야.""

2. 피칠갑의 프로

'이 상황을 어떻게 헤쳐나갈까' 매력적인 주인공이 위험에 처하는 상황은 항상 두렵다. 이 걱정은 <존 윅> 시리즈에서도 똑같이 느꼈다. 칼이 아닌 수많은 총구들이 그를 겨누고 있을 때의 긴장감. 도무지 탈출구란 보이지 않는 시점에, 박훈정 감독은 '이 때다 싶어' 관객들에게 '스트레스 해소' 시간을 준다. 느슨한 후방을 노리는 적의 움직임까지 신경쓰는 귀공자의 전투 디테일이 좋았고, 두 번 다시는 일어날 수 없게 확인 사살까지 (한 번 타격해도 될 걸 굳이 위험을 감수하면서까지 확실하게 처리)하는 모습이 정말 프로 같았다. 피칠갑은 역시나 이번 작품에서도 빠지지 않는다.

""삥 뜯기는 게 낫지 않겠어? 죽는 것보다는.“

정말 다 좋았지만 종반부의 여백이 너무 필요 이상으로 많지 않았나 싶고, 진중했던 영화의 전체적 분위기가 엔딩 부분에서 너무 익살스럽게 변하는 것도 마음에 들지를 않았다.

배우들의 연기도, 영화의 분위기도, 내 취향과 너무 잘 맞아서
아마 당분간은 이 영화의 여운에서 쉽게 벗어나지 못 할 것 같다
또 지인들에게 ""나 프로잖아~"" 이러면서 허세를 부리고 다닐
내 모습에
벌써부터 진절머리 난다"
재원,2,"거참. 쏠 거면 좀 쏘고, 죽일 거면 좀 죽이든가.
표적 앞에서 뭐 저렇게 나불나불 말들이 많은지.
그리고 장르에 코미디라고 써붙여도 됐겠구만,
반전이 아주 쌩뚱맞은 코미디네 이거."
케빈,1.5,<신세계>는 그저 뽀록이었다는 것을 다시 한번 확인시켜 준다
캡틴부메랑,N/A,이 형 진짜 귀공자랑 영어대사에 진심이네
BIGMAC_bro,3.5,"개인적으론 <존윅4>를 볼때 귀공자의 분위기를 내면서
쎈척만 오지게하고 정작 액션이 없었던 빌 스카스가드의
케릭터가 너무 아쉬웠는데, 김선호의 케릭터가 그 아쉬움을
조금은 채워주네 ㅎ

곱게자란 부잣집 도련님처럼 생겨가지고 스스럼없이 악당들을
죽이거나, 고통스러워 하는 상대를 보며 순박해보이는 미소를
지을때의 분위기가 양면적인 느낌이었음.

기존의 무겁던 박훈정식 느와르에 코믹요소가 포함된,
전체적으로 많이 무겁지 않은 분위기의 영화여서 색달랐다.
근데 나쁘지가 않네??

허당끼가 있지만 실력은 뛰어난 해결사인 김선호의 케릭터도
만화주인공 같고 좋았다. 배우의 분위기와 페이스가 잘 어울리는 느낌이어서 스크린 데뷔로는 강렬한 느낌.

신인배우인 강태주 역시 좋았는데, 의외로 대사보단 도망씬이
많아 약간 아쉽기도 ㅎㅎ

전체적으론 후반부의 액션씬이 조금만 합이 더 느껴지는
연출이었으면 어땠을까 하는 마음도 든다.

박훈정 감독의 영화는 전반적으로 잘 맞았어서 몰입해서
재밌게 봤음. 호불호는 좀 갈릴 것 같다.

*생각보다 덜 잔인함.
왜 청불이지… 15세여도 괜찮을것 같은데 ㅎ"
망고무비,N/A,“그렇게 웃지마!” - 더 글로리 시즌2 중에서.
Dh,2.5,"시간 넘쳐나는 전문가의 친구 만들기
#다사다난
#CGV"
윤제아빠,2.5,"신세계를 보았다 생각했는데
허세쩌는 디스토피아 일줄은
.
.
#이제그만구름위에서내려와
#현실에서할일찾는게나을듯
#근데김선호는좀많이귀엽네
#신세계이후다거기서거기네"
JY,2.5,"'자고 일어났더니 심장빨로 레벨업한 코피노 주인공이 귀공자가 되어버렸습니다만 어느 날 갑자기 SSS급 친구와 헌터들이 나타나 다들 내게 집착한다'

감독님이 만화갬성 좋아하시는것 같아
제목하나 지어올립니다
'귀공자'보다는 이게 요즘 먹힌답니다"
황재윤,2,"특유의 허세와 겉멋으로 똘똘 뭉친 세계가 조화로워 보이질 않는다. 🔫

230614 롯데시네마 회원시사에서"
감성적인너구리,2.5,피 튀기는 정육점 이야기 기대하고 갔다 마주한 미니어처 정육점 이야기.
유권민,4,"박훈정의 영화는 악평을 받는 것도 이해가 간다만 난 왜이리 재밌냐.
여전히 헛점 투성이지만 말초적인 재미는 보장되어있다.
김선호의 연기는 처음 봤지만 꽤 서늘하고 잘 어울렸다. 김강우는 늘 그렇듯이 잘한다."
진태,3,웃기긴 함 ㅋㅋㅋ
무비신,3,우당탕탕 좌충우돌 이러쿵저러쿵 해피엔딩.
겨울비,3,"벤츠vs제네시스vs마세라티 대결의 승자는?

+ 김선호 연기 매우 흡족"
내 낡은 서랍 속의 바다,2,스포일러가 포함되어 내용을 생략했습니다.
Sz,4,캐릭터 잘뽑았다
dltcmal,1,믿고 거르는 박훈정표 영화
TERU,2,"Good : 김선호의 깔끔한 미모
Caution : 길고 지루한 카체이스 액션"
다솜땅,3.5,"세련됬지만 잔인하고, 재미스럽지만 피가 튀기는…
인간 말종들의 세상에 이 아빠를 찾고싶어하는 마음을 이용한 사기에 사기, 범죄에 범죄..
누굴 응원해야 할지 마지막까지 흔들리는 마음..
“너 살았어 짜식아” ㅋㅋㅋㅋ
#24.1.5 (17)"
수진,3,"효도 한 번 하자.
-
부드러운 음악이 흘러나오는 곳에 누군가 묶여 있고, 그를 묶어 놓은 일당은 조 사장과 통화하며 별거 없었다고 가벼워한다. 가진 게 많은 놈이라는 말에 즐거워하던 일당은 조 사장이 곧 도착한다는 소식을 듣는데, 그런 그들에게 누군가 조용히 뒤에서 다가가 가격해버린다. 이후 도착한 조 사장은 이미 일이 벌어져 있자 식겁을 하고 도망가려 하지만 문이 닫겨 갇히게 되고, 곧 총격전이 벌어진다. 총격전의 주체인 '귀공자'는 쓰러진 조 사장에게 반갑게 인사하고, 줄 것을 꼭 주겠다고 겁에 질려 말하는 그에게 우린 친구이고 개인적인 감정은 없다며 가격한다.

박훈정 감독의 또 하나의 누아르 영화다. 사실 주인공을 맡은 김선호의 비주얼이 매우 훌륭하며 의상도 슈트를 깔끔하게 빼입고 멀끔한 모습이기에, 굳이 그의 카리스마를 전달하는 데에는 많은 대사나 행동이 필요하지 않은 것처럼 보인다. 하지만 감독의 최근 전작들이 답습했듯이 다소 허세스럽거나 지나친 대사들이 영화의 진지한 톤을 해친다는 느낌을 받을 때가 이 영화에서도 종종 있다. 멋진 캐릭터가 이미 비주얼적으로 충분하기 때문에, 굳이 누아르 영화에서 이러한 허세를 대놓고 잡는 것이 오히려 역효과로 이어질 수 있다는 것이다.

그러나 개인적으로 진짜 하고 싶은 말은 지금부터의 내용이다. 그것은 이 영화를 단순히 누아르 영화로만 보지 않고, 코미디 영화로도 본다면 주인공인 귀공자의 행태가 나름 맛깔난다는 것이다. 감독의 전작 중 하나인 <낙원의 밤>의 예를 들자면 극중 차승원과 이문식이 중식당에서 짜장면을 먹으면서 서로 춘장을 튀기며 우스꽝스럽게 화를 내는 신이 있다. 그 영화를 전체적으로 보면 워낙 진지하기에 그 신만 꽤 튄다는 느낌을 받았는데, 그러한 톤의 신이 이러한 코미디 영화에서 주인공을 중심으로 벌어지니 꽤나 매끄럽고 익살스럽게 보인다는 것이다.

사실 이 영화를 코미디 영화로 해석하기 위한 장치들은 꽤 많이 있다는 생각도 든다. 나머지 주연들이 모두 진지하지만 주인공인 귀공자만 혼자 튄다는 점, 귀공자 자신이 프로이고 전문가임을 재차 강조한다는 점, 그리고 어설픈 영어를 사용한다는 점 등을 들 수 있는데 진지할 듯한 분위기 속에 코미디가 은근 숨 쉬는 영화의 톤 덕분에 피카레스크적인 흐름도 담백하면서 꽤 맛깔이 난다. 개인적으로도 꽤 웃은 장면들이 있고, 같은 영화관 내의 다른 관객들로부터도 적잖은 웃음소리를 들을 수 있었다. 코미디가 생각보다 괜찮게 작동하는 영화라고 느껴진다.

감독의 최근 작품들에 줄곧 좋지 않은 평가들을 하면서도 챙겨봐온 것은 여전히 장르 영화의 팬이기 때문이다. 감독이 그간 만화적인 영화들을 줄곧 만들기도 했고 그 특유의 스타일 때문에 아쉬움을 느껴왔지만, 이 영화는 드디어 괜찮다고 느낀다. 사실 거대한 명성을 가져다준 <신세계> 이후로 감독은 영화의 만듦새와는 별개로 <신세계>의 영향력에서 벗어나기 위해 고심한 흔적을 이후 작품마다 조금씩은 보여왔다고 생각한다. 그리고 줄곧 이어진 그 특유의 스타일이 결국 코미디라는 장르를 만나서 색다르게 보이니 아무쪼록 흥미로운 영화다."
DarthSkywalker,N/A,"이젠....박훈정 감독에겐 더이상 신뢰와 기대조차 하지 않는다.....

난 타겟을 놓쳐본 적이 없거든.
이게 뭐야.....ㅠㅠ"
뚱이에요,2,컨셉질도 애매모호하면 대참사로 이어지기 마련.
주방장의 잡기술,3,아무리 봐도 적응할 수 없는 맛
솔티드캬라멜,3.5,"다소 아쉬운 전반부를 지나 해사한 귀공자의 얼굴위에 붉은 피를 튀기며 질주하는 영화의 후반부 액션이 백미

(근데 이게 왜 청불이지? 액션은 강하지만 잔인하진 않음)"
Steve,3,"조금씩 진보되어,,,
이번에 존윅까지 덧붙여 ...

김선호의 변신, 강태주의 발견,
그리고 김강우,, 고아라까지
배우의 열연이 돋보인다"
Mia-Wallace,N/A,"박훈정 감독이 부당거래의 각본을 썼다고 알고계시는 분들이 많을 것이다.

부당거래의 각본은 박훈정 감독이 초기의 골격만 잡고 나머지는 류승완 감독이 전부 다 맡았다고 한다.

류승완 감독은 왜 박훈정 감독이 각본을 다 도맡았다고 했던것일까? 처우가 열약한 작가들 때문이다.

박훈정 감독의 기가 막혔던 부당거래 대사빨들을 아직 기대하는 분들은 이제 기대를 접으셔도 될 것 같다.

이제 이 사람이 할 줄 아는 건
오글거리는 영어대사와 유치한 유머, 그리고 오글거리는 씩 웃기 뿐이다."
RAW,4.5,"끈적하고 쫀득한
4.6/5점

김선호와 강태주라는 보석의 발견
우아하고 치밀한 연출의 연속
솔직히 범죄도시3보다 훌륭하고 23년 한국 액션 영화 중에 제일 인상적인 작품"
jyjea,3,"김선호의 질주, 박훈정의 제자리 걸음...

-6월8일 시사회관람-"
JeongpilChae,1.5,"작전과 장난 사이.

코믹영화에 가까운데
나는 김강우 연기가 맘에 들었다.
단 한 순간도 연기라는 생각이 안들었음.

하지만 나머진 다 별로...

그냥 이 영화 자체도
킹스맨같은 수트액션을 하려고 한 데다가
김선호 팬들을 위한 헌정 영화에 가까웠음..."
공실,2.5,박훈정 감독님 각본가좀 짤라버리세요
김병우,2,"'귀공자'를 보고난 후, 박훈정 감독에게.. 공자 왈

""자승자박[自繩自縛]."""
인생참쉽지않다,1.5,앞으로 박훈정 감독 영화는 믿고 걸러야겠다
Vimzen,3,오글거리는 대사와 액션으로 마니아층을 확실히 노린다. 박훈정은 어쩌면 한국의 그 누구보다 컬트 영화의 원리를 잘 이해한 B급 감독이 아닐까..
한창성,2.5,"신세계 후광 효과로 여기까지 온 듯한 박훈정 감독.

한두 번은 웃겼지만 뇌절할 때까지 반복하는 유머.

개연성은 둘째 치고 통쾌하면서 시원스러운 타란티노 감독의 피칠갑에 비해 이건 그냥 겉멋에 취한 유혈 낭자.

촌스러운 반전 연출.

마르코 역의 신인 배우 ‘강태주’의 연기는 집중이 안된다.

(의외로 좋은 관객들 반응이지만 글쎄…)

크레딧과 동시에 쿠키영상 하나."
스탕달,2.5,"제목부터가 이미 어딘가 좀 촌스럽다 했더니

역시 그 감성.

마녀2에 비하면 너무 양반이라 까기 좀 그렇긴 한데

여전히 각본이 초딩같다.

그래도 주연배우들이 제 몫을 해줘서 볼만했는데

특히 신인 강태주를 칭찬하고 싶다."
5jp,1,지들끼리 북치고 장구치고 총쏘고~가관이다
neworld,3,무작정 방아쇠만 당기는 것보다는 이런 영화가 훨씬 낫다.
Limousine,4,"박훈정 감독의 상상은 현실이 된다.

그냥 자기 하고 싶은 거 다 했습니다. 평소 박훈정 영화처럼 총 많이 쏘고 액션 많고 피 많이 나오고 미친 것처럼 웃고 숲이 울창하고 영어 많이 씁니다. 근데 이번엔 개그 욕심이 좀 늘었습니다.

근데 사실 이런 개그 제 스타일입니다. 저는 냉철한 비평가가 되기는 틀렸나 봅니다. 보고 나면 남는 건 없지만 팝콘 무비로 괜찮습니다. 김강우는 역시 연기 베테랑이고 김선호는 예고편 보고 걱정했는데 꽤 잘합니다. 강태주 배우는 신인인 거 감안하면 괜찮습니다.

초중반이랑 후반이 완전히 다른 장르 같아서 싫어하실 분들이 많을 거긴 합니다.

#투자 못 받기 전에 빨리 마녀3나 진행시켰으면... 끝은 봐야지..."
Random cul,3,"김선호님 이갈았네.
무난 그 이상.
볼만했다."
P1,2.5,"훈증아
내가 요즘 모든 게 귀찮구나..
근데 너는 왤케 부지런흐게 계속 찍는 거시야..
그것도 맨날 질리지도 않나 일당백 먼치킨물
아무리 치킨은 못참아도 치킨먹고 나면 피자먹고 피자먹고 나면 회도 먹고 회먹고 나면 족발도 먹고 그러다가 다시 먼치킨먹고 해주는 로테이션이 필요하지않큿나 훈증아 치킨만 먹으면 물려 마 형은 우리 훈즈이 애정한다
훈증아 신세계에서 멈추지 않고 달려와줘서 너무 고맙데이!
앞으론 ㅂ신세계 서타일로 신나게 함 달리보자!"
리얼리스트,2,감독님의 사춘기가 궁금하다.
coenjung,3,김선호가 웃을 때 나도 같이 피식거리게 되는데 이게 맞는 건가?드라이브의 라이언 고슬링만큼 좋다.
txt,4.5,묵직한 느와르일줄 알았는데 통쾌한 액션물이었다는게 반전. 나쁜놈을 때려잡는 미친놈? 이건 먹히지
138층,3,왜 재밌지 자존심 상하게..
김수지,3.5,들인 공과 규모에 비해 다소 촌스러운 마무리..
세훈,3.5,박훈정은 이렇게 가루가 되도록 까이면서도 꾸준히 좋은 배우들과 작업한다. 그 비결을 공개하면 대박날거 같은데
차칸수니리,3,1980 대 1 의 경쟁률에서 선택 받은 강태주는 한국에서는 계속 달리기만 하고 액션은 거의 없다. 고아라는 예쁘지만 맡은 배역은 없애도 큰 영향은 없다. 김강우는 자신이 맡은 배역은 악역이라는 것을 보여주려고 계속 노력을 한다. '귀공자' 만 살아남았다.
